SAV percent cover,,,,,,,,,,,,,,,,,,,,,,,Chara ,Halodule,Thalassia
Date,Water depth,Sed depth,Site #,Rep,Chara,Halodule,Ruppia,Batophora,Acetabularia,Thalassia,Penicillus,Sargassum pteropleuron,Laurencia spp.,Caulerpa prolifera ,Halimeda incrassata,Rhizophora mangle,Polysiphonia binneyi,Chondria baileyana,Udotea,Hypnea,Digenia,Total,Canopy height,Canopy height,Canopy height
11/10/2015,,20,4A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
11/10/2015,,,4A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
11/10/2015,,,4A,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0
11/10/2015,,,4A,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0
11/10/2015,,,4A,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0
11/10/2015,,,4A,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0
11/10/2015,,,4A,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0
11/10/2015,,,4A,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0
11/10/2015,,,4A,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0
11/10/2015,,,4A,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,10,0,0
11/10/2015,,,4A,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0
11/10/2015,,,4A,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0
11/10/2015,,,4A,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0
11/10/2015,,,4A,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0
11/10/2015,,,4A,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0
11/10/2015,,,4A,mean,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,10.0,0.0,0.0
